sub	learn-doors	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	1	1	1	0.034	9	4	0.000	4	0	1689	1368.000
1	1	1	1	0.050	9	4	0.000	4	0	1686	1370.000
1	1	1	1	0.067	9	4	0.000	4	0	1685	1372.000
1	1	1	1	0.083	9	4	0.000	4	0	1684	1374.000
1	1	1	1	0.101	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.117	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.134	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.150	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.167	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.183	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.200	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.217	9	4	0.000	4	0	1683	1375.000
1	1	1	1	0.233	9	4	0.000	4	0	1683	1366.000
1	1	1	1	0.250	9	4	0.000	4	0	1683	1349.000
1	1	1	1	0.267	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.283	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.300	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.317	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.333	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.350	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.367	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.383	9	4	0.000	4	0	1684	1344.000
1	1	1	1	0.400	9	4	0.000	4	0	1680	1347.000
1	1	1	1	0.417	9	4	0.000	4	0	1675	1353.000
1	1	1	1	0.433	9	4	0.000	4	0	1666	1359.000
1	1	1	1	0.450	9	4	0.000	4	0	1653	1367.000
1	1	1	1	0.467	9	4	0.000	4	0	1636	1381.000
1	1	1	1	0.484	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.500	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.517	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.534	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.550	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.567	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.584	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.600	9	4	0.000	4	0	1635	1382.000
1	1	1	1	0.617	9	4	0.000	4	0	1636	1376.000
1	1	1	1	0.634	9	4	0.000	4	0	1637	1374.000
1	1	1	1	0.650	9	4	0.000	4	0	1637	1374.000
1	1	1	1	0.667	9	4	0.000	4	0	1637	1374.000
1	1	1	1	0.684	9	4	0.000	4	0	1637	1374.000
1	1	1	1	0.700	9	4	0.000	4	0	1637	1374.000
1	1	1	1	0.717	1	4	0.250	4	0	1637	1374.000
1	1	1	1	0.734	1	4	0.250	4	1	1637	1374.000
1	1	1	1	0.784	10	4	0.250	4	1	1637	1374.000
1	1	1	1	0.817	10	4	0.250	4	1	1637	1374.000
1	1	1	1	0.866	10	4	0.250	4	1	1637	1374.000
1	1	1	1	0.882	10	4	0.250	4	1	1637	1374.000
1	1	1	1	0.898	10	4	0.250	4	1	1640	1371.000
1	1	1	1	0.914	10	4	0.250	4	1	1663	1362.000
1	1	1	1	0.929	10	4	0.250	4	1	1691	1354.000
1	1	1	1	0.945	10	0	0.000	4	1	1718	1346.000
1	1	1	1	0.960	10	0	0.000	4	1	1751	1334.000
1	1	1	1	0.975	10	0	0.000	4	1	1781	1321.000
1	1	1	1	0.990	10	8	0.000	4	1	1800	1312.000
1	1	1	1	1.006	10	8	0.000	4	1	1816	1307.000
1	1	1	1	1.021	10	0	0.000	4	1	1830	1302.000
1	1	1	1	1.036	10	0	0.000	4	1	1832	1301.000
1	1	1	1	1.051	10	0	0.000	4	1	1832	1301.000
1	1	1	1	1.066	10	0	0.000	4	1	1832	1301.000
1	1	1	1	1.082	10	0	0.000	4	1	1832	1301.000
