sub	sess	t	cond	loc	prob	tgt
1	1	1	1	4	2.500000e-01	45
1	1	2	1	4	2.500000e-01	10
1	1	3	1	15	2.500000e-01	72
1	1	4	1	6	2.500000e-01	44
1	1	5	1	15	2.500000e-01	76
1	1	6	1	4	2.500000e-01	82
1	1	7	1	6	2.500000e-01	96
1	1	8	1	4	2.500000e-01	2
1	1	9	1	15	2.500000e-01	48
1	1	10	1	4	2.500000e-01	1
1	1	11	1	9	2.500000e-01	71
1	1	12	1	4	2.500000e-01	69
1	1	13	1	6	2.500000e-01	2
1	1	14	1	6	2.500000e-01	15
1	1	15	1	6	2.500000e-01	40
1	1	16	1	4	2.500000e-01	78
1	1	17	1	6	2.500000e-01	21
1	1	18	1	9	2.500000e-01	75
1	1	19	1	4	2.500000e-01	35
1	1	20	1	6	2.500000e-01	19
1	1	21	1	15	2.500000e-01	56
1	1	22	1	4	2.500000e-01	95
1	1	23	1	6	2.500000e-01	49
1	1	24	1	6	2.500000e-01	24
1	1	25	1	6	2.500000e-01	76
1	1	26	1	9	2.500000e-01	26
1	1	27	1	15	2.500000e-01	44
1	1	28	1	4	2.500000e-01	46
1	1	29	1	4	2.500000e-01	2
1	1	30	1	9	2.500000e-01	88
1	1	31	1	9	2.500000e-01	75
1	1	32	1	15	2.500000e-01	42
1	1	33	1	6	2.500000e-01	54
1	1	34	1	15	2.500000e-01	81
1	1	35	1	6	2.500000e-01	26
1	1	36	1	9	2.500000e-01	60
1	1	37	1	6	2.500000e-01	67
1	1	38	1	15	2.500000e-01	68
1	1	39	1	6	2.500000e-01	83
1	1	40	1	15	2.500000e-01	50
1	1	41	2	11	2.500000e-01	60
1	1	42	2	3	2.500000e-01	40
1	1	43	2	13	2.500000e-01	48
1	1	44	2	5	2.500000e-01	14
1	1	45	2	11	2.500000e-01	47
1	1	46	2	11	2.500000e-01	32
1	1	47	2	3	2.500000e-01	22
1	1	48	2	11	2.500000e-01	50
1	1	49	2	5	2.500000e-01	10
1	1	50	2	3	2.500000e-01	45
1	1	51	2	13	2.500000e-01	68
1	1	52	2	3	2.500000e-01	68
1	1	53	2	5	2.500000e-01	44
1	1	54	2	11	2.500000e-01	11
1	1	55	2	5	2.500000e-01	1
1	1	56	2	3	2.500000e-01	17
1	1	57	2	3	2.500000e-01	51
1	1	58	2	3	2.500000e-01	79
1	1	59	2	5	2.500000e-01	55
1	1	60	2	5	2.500000e-01	35
1	1	61	2	11	2.500000e-01	39
1	1	62	2	13	2.500000e-01	1
1	1	63	2	5	2.500000e-01	72
1	1	64	2	11	2.500000e-01	66
1	1	65	2	13	2.500000e-01	71
1	1	66	2	5	2.500000e-01	20
1	1	67	2	13	2.500000e-01	75
1	1	68	2	5	2.500000e-01	34
1	1	69	2	13	2.500000e-01	18
1	1	70	2	13	2.500000e-01	42
1	1	71	2	13	2.500000e-01	76
1	1	72	2	11	2.500000e-01	70
1	1	73	2	11	2.500000e-01	3
1	1	74	2	13	2.500000e-01	100
1	1	75	2	5	2.500000e-01	87
1	1	76	2	13	2.500000e-01	80
1	1	77	2	5	2.500000e-01	86
1	1	78	2	5	2.500000e-01	77
1	1	79	2	11	2.500000e-01	24
1	1	80	2	3	2.500000e-01	89
