sub	learn-uncertainty	t	cond	onset	open_d	door	door_p	tgt_door	tgt_found	x	y
1	2	1	1	0.034	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.050	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.067	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.084	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.111	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.133	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.150	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.167	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.183	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.200	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.216	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.233	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.250	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.266	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.283	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.300	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.317	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.333	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.350	9	3	0.000	9	0	1600	1167.000
1	2	1	1	0.367	9	3	0.000	9	0	1598	1167.000
1	2	1	1	0.383	9	3	0.000	9	0	1587	1166.000
1	2	1	1	0.400	0	0	0.000	9	0	1536	1158.000
1	2	1	1	0.416	0	0	0.000	9	0	1462	1147.000
1	2	1	1	0.433	0	0	0.000	9	0	1360	1131.000
1	2	1	1	0.450	0	0	0.000	9	0	1238	1112.000
1	2	1	1	0.467	0	0	0.000	9	0	1035	1078.000
1	2	1	1	0.483	0	0	0.000	9	0	875	1043.000
1	2	1	1	0.500	0	0	0.000	9	0	799	1026.000
1	2	1	1	0.517	0	0	0.000	9	0	732	1020.000
1	2	1	1	0.533	0	0	0.000	9	0	702	1022.000
1	2	1	1	0.550	0	0	0.000	9	0	679	1039.000
1	2	1	1	0.567	0	0	0.000	9	0	668	1050.000
1	2	1	1	0.583	0	0	0.000	9	0	663	1062.000
1	2	1	1	0.600	0	0	0.000	9	0	660	1068.000
1	2	1	1	0.617	0	0	0.000	9	0	659	1079.000
1	2	1	1	0.633	0	0	0.000	9	0	659	1086.000
1	2	1	1	0.650	0	0	0.000	9	0	659	1090.000
1	2	1	1	0.666	0	0	0.000	9	0	661	1092.000
1	2	1	1	0.683	0	0	0.000	9	0	665	1093.000
1	2	1	1	0.700	0	0	0.000	9	0	678	1093.000
1	2	1	1	0.716	0	0	0.000	9	0	691	1092.000
1	2	1	1	0.733	0	0	0.000	9	0	708	1088.000
1	2	1	1	0.750	0	0	0.000	9	0	721	1084.000
1	2	1	1	0.766	0	0	0.000	9	0	739	1079.000
1	2	1	1	0.783	0	0	0.000	9	0	746	1075.000
1	2	1	1	0.800	0	0	0.000	9	0	750	1073.000
1	2	1	1	0.817	0	0	0.000	9	0	752	1071.000
1	2	1	1	0.833	0	0	0.000	9	0	756	1068.000
1	2	1	1	0.850	0	0	0.000	9	0	766	1063.000
1	2	1	1	0.866	0	0	0.000	9	0	773	1058.000
1	2	1	1	0.883	0	0	0.000	9	0	782	1053.000
1	2	1	1	0.900	0	0	0.000	9	0	790	1049.000
1	2	1	1	0.917	0	0	0.000	9	0	800	1042.000
1	2	1	1	0.933	0	0	0.000	9	0	807	1039.000
1	2	1	1	0.950	0	0	0.000	9	0	813	1034.000
1	2	1	1	0.967	0	0	0.000	9	0	820	1031.000
1	2	1	1	0.983	0	0	0.000	9	0	828	1025.000
1	2	1	1	1.000	0	0	0.000	9	0	839	1018.000
1	2	1	1	1.016	0	0	0.000	9	0	846	1013.000
1	2	1	1	1.033	0	0	0.000	9	0	848	1010.000
1	2	1	1	1.050	0	0	0.000	9	0	855	1006.000
1	2	1	1	1.066	0	0	0.000	9	0	862	1000.000
1	2	1	1	1.083	0	0	0.000	9	0	869	996.000
1	2	1	1	1.100	0	0	0.000	9	0	873	993.000
1	2	1	1	1.116	0	0	0.000	9	0	880	986.000
1	2	1	1	1.133	0	0	0.000	9	0	885	983.000
1	2	1	1	1.150	0	0	0.000	9	0	911	971.000
1	2	1	1	1.167	0	0	0.000	9	0	932	965.000
1	2	1	1	1.183	0	0	0.000	9	0	968	960.000
1	2	1	1	1.200	0	0	0.000	9	0	1030	958.000
1	2	1	1	1.217	0	0	0.000	9	0	1169	972.000
1	2	1	1	1.233	0	0	0.000	9	0	1253	992.000
1	2	1	1	1.250	0	0	0.000	9	0	1380	1034.000
1	2	1	1	1.267	0	0	0.000	9	0	1469	1072.000
1	2	1	1	1.283	9	3	0.000	9	0	1593	1145.000
1	2	1	1	1.300	0	0	0.000	9	0	1684	1224.000
1	2	1	1	1.316	0	0	0.000	9	0	1717	1267.000
1	2	1	1	1.333	0	0	0.000	9	0	1735	1294.000
1	2	1	1	1.350	0	0	0.000	9	0	1745	1320.000
1	2	1	1	1.366	0	0	0.000	9	0	1746	1360.000
1	2	1	1	1.383	0	0	0.000	9	0	1730	1411.000
1	2	1	1	1.400	0	0	0.000	9	0	1706	1455.000
1	2	1	1	1.417	0	0	0.000	9	0	1679	1490.000
1	2	1	1	1.433	0	0	0.000	9	0	1659	1511.000
1	2	1	1	1.454	0	0	0.000	9	0	1629	1534.000
1	2	1	1	1.467	0	0	0.000	9	0	1613	1544.000
1	2	1	1	1.483	0	0	0.000	9	0	1599	1554.000
1	2	1	1	1.500	0	0	0.000	9	0	1579	1563.000
