sub	sess	t	cond	loc	prob	tgt
1	2	1	1	9	2.500000e-01	NaN
1	2	2	1	15	2.500000e-01	NaN
1	2	3	1	9	2.500000e-01	NaN
1	2	4	1	15	2.500000e-01	NaN
1	2	5	1	4	2.500000e-01	NaN
1	2	6	1	15	2.500000e-01	NaN
1	2	7	1	9	2.500000e-01	NaN
1	2	8	1	15	2.500000e-01	NaN
1	2	9	1	9	2.500000e-01	NaN
1	2	10	1	9	2.500000e-01	NaN
1	2	11	1	6	2.500000e-01	NaN
1	2	12	1	6	2.500000e-01	NaN
1	2	13	1	9	2.500000e-01	NaN
1	2	14	1	4	2.500000e-01	NaN
1	2	15	1	9	2.500000e-01	NaN
1	2	16	1	15	2.500000e-01	NaN
1	2	17	1	6	2.500000e-01	NaN
1	2	18	1	9	2.500000e-01	NaN
1	2	19	1	4	2.500000e-01	NaN
1	2	20	1	15	2.500000e-01	NaN
1	2	21	2	3	2.500000e-01	NaN
1	2	22	2	13	2.500000e-01	NaN
1	2	23	2	13	2.500000e-01	NaN
1	2	24	2	11	2.500000e-01	NaN
1	2	25	2	3	2.500000e-01	NaN
1	2	26	2	13	2.500000e-01	NaN
1	2	27	2	11	2.500000e-01	NaN
1	2	28	2	3	2.500000e-01	NaN
1	2	29	2	11	2.500000e-01	NaN
1	2	30	2	11	2.500000e-01	NaN
1	2	31	2	3	2.500000e-01	NaN
1	2	32	2	13	2.500000e-01	NaN
1	2	33	2	3	2.500000e-01	NaN
1	2	34	2	11	2.500000e-01	NaN
1	2	35	2	5	2.500000e-01	NaN
1	2	36	2	13	2.500000e-01	NaN
1	2	37	2	3	2.500000e-01	NaN
1	2	38	2	3	2.500000e-01	NaN
1	2	39	2	5	2.500000e-01	NaN
1	2	40	2	5	2.500000e-01	NaN
1	2	41	1	15	2.500000e-01	NaN
1	2	42	1	6	2.500000e-01	NaN
1	2	43	1	6	2.500000e-01	NaN
1	2	44	1	6	2.500000e-01	NaN
1	2	45	1	9	2.500000e-01	NaN
1	2	46	1	9	2.500000e-01	NaN
1	2	47	1	6	2.500000e-01	NaN
1	2	48	1	15	2.500000e-01	NaN
1	2	49	1	6	2.500000e-01	NaN
1	2	50	1	6	2.500000e-01	NaN
1	2	51	1	9	2.500000e-01	NaN
1	2	52	1	4	2.500000e-01	NaN
1	2	53	1	4	2.500000e-01	NaN
1	2	54	1	6	2.500000e-01	NaN
1	2	55	1	6	2.500000e-01	NaN
1	2	56	1	15	2.500000e-01	NaN
1	2	57	1	15	2.500000e-01	NaN
1	2	58	1	15	2.500000e-01	NaN
1	2	59	1	9	2.500000e-01	NaN
1	2	60	1	6	2.500000e-01	NaN
1	2	61	2	13	2.500000e-01	NaN
1	2	62	2	11	2.500000e-01	NaN
1	2	63	2	13	2.500000e-01	NaN
1	2	64	2	3	2.500000e-01	NaN
1	2	65	2	13	2.500000e-01	NaN
1	2	66	2	3	2.500000e-01	NaN
1	2	67	2	3	2.500000e-01	NaN
1	2	68	2	3	2.500000e-01	NaN
1	2	69	2	5	2.500000e-01	NaN
1	2	70	2	3	2.500000e-01	NaN
1	2	71	2	3	2.500000e-01	NaN
1	2	72	2	13	2.500000e-01	NaN
1	2	73	2	11	2.500000e-01	NaN
1	2	74	2	11	2.500000e-01	NaN
1	2	75	2	3	2.500000e-01	NaN
1	2	76	2	13	2.500000e-01	NaN
1	2	77	2	13	2.500000e-01	NaN
1	2	78	2	5	2.500000e-01	NaN
1	2	79	2	13	2.500000e-01	NaN
1	2	80	2	3	2.500000e-01	NaN
